#1 - Actual Position	#1 - Desired Position
27747.125	8222.125
27827.125	8276.344
27910.531	8333.406
27991.219	8390.969
28067.812	8445.250
28148.250	8497.312
28228.844	8553.344
28304.531	8612.875
28380.875	8673.469
28461.344	8731.375
28540.469	8785.844
28614.312	8844.094
28691.000	8905.781
28769.969	8968.062
28845.594	9026.906
28917.781	9084.719
28994.344	9147.375
29072.000	9212.812
29144.469	9277.687
29213.937	9337.719
29288.469	9399.281
29363.125	9465.656
29433.875	9533.781
29503.344	9598.781
29577.062	9661.219
29650.812	9728.344
29719.906	9798.000
29787.031	9865.687
29858.625	9928.844
29930.344	9995.750
29997.969	10067.031
30063.031	10138.125
30131.812	10205.094
30200.969	10273.781
30266.687	10347.156
30329.000	10420.562
30395.125	10488.969
30463.281	10559.312
30529.375	10634.187
30590.875	10709.656
30652.937	10780.000
30718.625	10851.812
30783.656	10928.000
30844.656	11003.562
30903.062	11074.969
30965.062	11149.969
31029.031	11229.094
31090.625	11306.281
31147.000	11379.281
31202.406	11456.937
31261.937	11537.687
31322.219	11615.125
31380.594	11690.906
31434.875	11771.594
31489.062	11852.750
31546.750	11928.312
31605.031	12006.250
31661.219	12089.125
31713.031	12170.344
31763.719	12248.406
31817.594	12331.094
31872.937	12415.812
31926.781	12495.375
31977.250	12576.469
32024.750	12662.031
32073.781	12746.031
32125.312	12825.906
32176.469	12910.594
32225.281	12996.500
32270.687	13077.625
32314.562	13162.062
32360.906	13250.656
32409.656	13335.312
32457.719	13418.281
32504.125	13507.062
32547.062	13595.062
32587.937	13678.812
32629.562	13767.125
32673.844	13856.500
32718.437	13940.250
32761.500	14027.000
32802.344	14117.750
32840.375	14205.062
32876.906	14292.312
32915.125	14384.281
32955.406	14473.344
32996.156	14560.250
33035.125	14652.375
33072.281	14743.844
33106.250	14830.594
33138.125	14921.937
33169.625	15013.781
33202.937	15101.469
33237.750	15193.656
33272.781	15288.062
33306.406	15376.687
33338.750	15468.687
33369.500	15563.937
33397.906	15654.187
33424.937	15746.375
33452.062	15841.781
33480.187	15931.750
33509.187	16023.062
33538.625	16118.906
33567.156	16211.187
33594.281	16303.750
33620.406	16400.594
33644.750	16493.312
33667.312	16585.969
33688.469	16683.312
33708.656	16777.031
33728.625	16869.437
33749.031	16966.062
33770.156	17059.500
33791.500	17152.906
33812.625	17251.125
33832.969	17345.687
33852.187	17439.344
33870.031	17537.781
33887.156	17633.156
33903.531	17727.562
33918.812	17826.000
33932.906	17920.281
33945.844	18013.687
33957.969	18112.375
33969.344	18207.875
33980.312	18302.937
33990.187	18402.281
33999.812	18497.531
34008.906	18592.937
34017.750	18692.594
34026.250	18788.000
34034.406	18883.156
34042.125	18981.844
34049.281	19076.406
34055.937	19172.687
34061.594	19272.812
34066.844	19367.781
34071.500	19464.312
34075.250	19564.469
34078.219	19659.687
34080.469	19756.781
34082.469	19856.312
34083.437	19949.687
34083.469	20046.156
34083.469	20145.625
34083.469	20240.469
34083.000	20338.125
34082.000	20437.750
34080.500	20531.969
34076.906	20629.750
34072.500	20729.312
34067.094	20823.219
34060.500	20920.469
34053.156	21018.219
34045.156	21112.000
34036.406	21210.219
34027.094	21309.125
34017.000	21402.656
34006.719	21500.875
33995.906	21599.437
33984.844	21693.250
33973.656	21791.375
33962.219	21888.344
33950.250	21980.469
33937.531	22077.750
33924.156	22175.000
33910.000	22268.344
33894.906	22366.125
33878.594	22463.062
33861.031	22555.781
33842.906	22653.187
33824.031	22749.812
33804.312	22841.750
33783.281	22938.000
33760.500	23033.094
33736.906	23125.000
33713.156	23221.781
33690.250	23317.656
33668.562	23408.875
33646.937	23504.937
33624.500	23600.719
33601.031	23691.937
33575.906	23787.219
33549.437	23881.625
33521.875	23970.812
33492.781	24064.656
33461.687	24159.469
33429.656	24249.344
33398.812	24343.187
33369.812	24437.812
33341.406	24526.844
33311.844	24619.312
33280.469	24713.781
33247.781	24802.375
33213.500	24892.844
33177.125	24985.750
33139.531	25073.875
33103.750	25163.750
33070.781	25257.094
33037.500	25345.844
33002.344	25433.531
32965.156	25525.875
32926.094	25615.594
32884.219	25702.094
32841.219	25793.000
32800.719	25882.094
32762.687	25965.812
32723.500	26054.312
32682.125	26144.250
32638.969	26228.906
32592.937	26315.875
32546.062	26405.687
32502.781	26490.344
32460.531	26574.719
32416.500	26663.219
32370.281	26749.344
32321.406	26830.969
32270.156	26916.750
32221.594	27002.594
32176.500	27083.344
32129.719	27167.094
32080.719	27253.812
32028.594	27335.937
31975.062	27416.000
31924.594	27500.812
31875.750	27584.906
31824.344	27663.562
31770.656	27745.187
31713.469	27828.969
31657.656	27907.375
31605.781	27984.125
31552.750	28065.656
31496.750	28147.219
31437.125	28223.375
31377.219	28301.750
31321.844	28383.312
31266.031	28461.000
31207.562	28535.219
31145.375	28613.531
31084.187	28693.344
31027.844	28767.875
30970.000	28840.781
30908.594	28917.750
30843.187	28994.219
30779.875	29065.469
