#1 - Actual Position	#1 - Desired Position
25395.437	6977.531
25303.187	6940.656
25212.344	6902.719
25124.656	6863.531
25032.281	6826.344
24939.312	6793.375
24851.062	6762.344
24759.594	6731.250
24666.625	6699.531
24578.031	6667.687
24485.750	6635.500
24390.969	6602.375
24301.062	6569.500
24208.625	6539.500
24112.906	6512.687
24021.750	6487.250
23928.562	6461.625
23832.281	6435.812
23741.594	6409.750
23649.719	6384.125
23553.375	6358.406
23460.937	6332.156
23367.844	6305.781
23270.250	6280.750
23177.156	6258.062
23083.781	6237.844
22985.562	6219.250
22891.656	6201.031
22798.250	6183.281
22700.844	6165.437
22607.781	6147.687
22513.469	6130.125
22415.187	6113.187
22320.625	6096.687
22226.125	6080.469
22127.312	6064.375
22032.375	6048.531
21936.781	6033.281
21837.562	6019.031
21743.906	6005.781
21649.344	5993.844
21550.625	5983.312
21455.875	5973.812
21359.844	5965.187
21259.937	5957.312
21165.062	5950.000
21068.719	5943.250
20968.562	5936.875
20873.687	5931.375
20777.719	5926.219
20678.906	5921.656
20584.719	5917.719
20487.906	5914.406
20388.250	5911.781
20293.562	5909.500
20196.312	5908.000
20096.531	5906.750
20001.562	5906.500
19903.625	5906.500
19804.312	5906.500
19710.969	5907.000
19614.000	5908.000
19515.312	5908.719
19420.687	5910.594
19322.531	5913.844
19223.656	5918.312
19129.312	5923.781
19030.969	5929.531
18932.156	5936.156
18838.031	5942.969
18740.500	5950.594
18643.687	5958.844
18549.750	5967.719
18451.594	5977.094
18354.094	5987.062
18260.219	5997.656
18161.937	6009.062
18064.719	6021.594
17970.531	6035.281
17872.156	6050.094
17776.187	6066.094
17683.844	6083.031
17586.719	6100.844
17490.781	6119.094
17397.344	6137.375
17299.750	6156.281
17203.969	6175.375
17111.187	6195.094
17013.812	6214.781
16918.000	6234.250
16826.000	6253.719
16730.125	6273.687
16636.187	6294.687
16544.500	6317.312
16448.500	6342.094
16353.812	6368.750
16262.656	6396.531
16167.312	6424.531
16072.625	6452.469
15981.562	6480.625
15886.750	6508.656
15792.719	6535.937
15704.219	6562.687
15611.406	6590.219
15517.437	6620.250
15428.281	6652.687
15335.656	6686.937
15241.187	6721.406
15152.844	6755.781
15061.469	6789.750
14967.406	6822.562
14878.937	6854.781
14789.812	6888.344
14697.469	6924.719
14610.094	6964.219
14521.875	7004.469
14429.812	7044.219
14341.219	7082.937
14254.625	7119.750
14163.906	7155.844
14074.531	7194.125
13988.687	7236.437
13899.625	7280.406
13810.000	7324.469
13726.906	7368.156
13640.937	7409.750
13551.937	7450.875
13467.469	7495.000
13382.844	7542.562
13294.187	7591.344
13208.750	7639.844
13126.687	7685.906
13040.281	7730.156
12953.219	7776.719
12872.281	7827.531
12789.437	7879.656
12703.906	7931.250
12623.094	7980.625
12542.594	8028.469
12458.250	8079.187
12374.812	8133.531
12296.375	8188.312
12215.156	8241.375
12131.156	8292.031
12051.969	8344.094
11973.500	8400.781
11891.656	8459.219
11810.656	8516.844
11736.000	8571.531
11658.781	8625.812
11578.094	8684.906
11500.531	8746.000
11426.031	8806.000
11348.125	8862.781
11268.250	8920.469
11194.312	8982.937
11120.656	9046.969
11043.562	9108.656
10965.687	9166.375
10894.094	9226.781
10822.031	9291.937
10746.750	9357.250
10672.656	9420.312
10603.750	9481.687
10532.344	9548.062
10458.000	9616.625
10385.094	9683.750
10317.531	9746.719
10248.187	9812.906
10175.687	9883.312
10104.344	9953.125
10038.094	10019.062
9970.437	10085.937
9900.031	10157.250
9830.094	10228.562
9766.844	10296.000
9703.219	10364.312
9636.281	10437.812
9567.750	10512.031
9503.875	10582.375
9442.094	10652.625
9377.594	10728.094
9310.750	10803.562
9246.312	10875.031
9187.375	10947.875
9126.687	11025.531
9063.281	11102.531
8998.656	11174.187
8938.875	11248.469
8882.406	11327.094
8823.844	11404.562
8763.031	11478.687
8702.594	11557.125
8647.562	11638.375
8593.125	11716.469
8536.219	11792.281
8477.469	11873.437
8419.187	11955.562
8365.969	12032.969
8314.562	12112.281
8260.719	12195.094
8205.187	12275.594
8149.094	12353.344
8097.312	12436.969
8048.594	12521.594
7998.500	12601.969
7946.469	12684.062
7893.344	12770.000
7842.062	12853.531
7796.594	12934.594
7752.250	13021.375
7705.312	13108.156
7657.094	13188.844
7608.000	13273.281
7560.062	13361.125
7516.875	13445.531
7475.062	13530.062
7431.656	13619.687
7386.844	13707.156
7341.125	13791.156
7295.812	13880.500
7254.469	13970.312
7216.875	14055.312
7178.781	14143.844
