X3.1211 Y18.0952 Z45.2060
X3.5123 Y18.3772 Z45.4890
X3.8923 Y18.6492 Z45.7580
X4.2606 Y18.9115 Z46.0136
X4.6170 Y19.1638 Z46.2562
X4.9613 Y19.4063 Z46.4863
X5.2932 Y19.6391 Z46.7042
X5.6126 Y19.8621 Z46.9105
X5.9193 Y20.0754 Z47.1056
X6.2134 Y20.2792 Z47.2898
X6.4947 Y20.4736 Z47.4636
X6.7634 Y20.6586 Z47.6273
X7.0194 Y20.8344 Z47.7813
X7.2628 Y21.0011 Z47.9260
X7.4938 Y21.1589 Z48.0617
X7.7124 Y21.3079 Z48.1888
X7.9188 Y21.4484 Z48.3076
X8.1133 Y21.5805 Z48.4184
X8.2959 Y21.7044 Z48.5217
X8.4671 Y21.8202 Z48.6176
X8.6269 Y21.9283 Z48.7065
X8.7758 Y22.0288 Z48.7886
X8.9139 Y22.1219 Z48.8644
X9.0416 Y22.2080 Z48.9340
X9.1593 Y22.2872 Z48.9977
X9.2672 Y22.3597 Z49.0559
X9.3657 Y22.4259 Z49.1087
X9.4551 Y22.4860 Z49.1565
X9.5360 Y22.5402 Z49.1995
X9.6086 Y22.5889 Z49.2380
X9.6733 Y22.6323 Z49.2722
X9.7306 Y22.6707 Z49.3024
X9.7809 Y22.7044 Z49.3289
X9.8246 Y22.7337 Z49.3518
X9.8622 Y22.7588 Z49.3715
X9.8941 Y22.7801 Z49.3881
X9.9207 Y22.7980 Z49.4020
X9.9425 Y22.8126 Z49.4134
X9.9601 Y22.8243 Z49.4225
X9.9737 Y22.8334 Z49.4297
X9.9840 Y22.8403 Z49.4350
X9.9914 Y22.8452 Z49.4388
X9.9963 Y22.8485 Z49.4414
X9.9993 Y22.8505 Z49.4430
X10.0009 Y22.8516 Z49.4438
X10.0014 Y22.8519 Z49.4441
X10.0015 Y22.8520 Z49.4441
