X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000
X42.5861:-3.4183 Y36.8293:-4.5088 Z4.8698:-5.6183
X42.2873:-10.1945 Y36.4353:-13.4390 Z4.3795:-16.6146
X41.4806:-22.9181 Y35.3762:-30.0165 Z3.1126:-34.9627
X39.9020:-41.2103 Y33.3243:-53.2626 Z0.8527:-55.5658
X37.2552:-65.8350 Y29.9510:-82.9013 Z-2.3675:-72.1248
X33.2106:-97.2342 Y24.9916:-116.1344 Z-6.1220:-74.9469
X27.4503:-134.2774 Y18.4560:-143.5524 Z-9.4095:-50.2876
X19.8027:-171.5509 Y11.0449:-145.9833 Z-10.5152:15.7105
X10.5580:-194.3267 Y4.5088:-105.3501 Z-7.3405:117.0696
X1.0034:-177.1748 Y1.0034:-31.3673 Z1.0034:207.3294
X-6.3478:-105.3130 Y1.3340:39.0150 Z12.4973:236.7353
X-9.1392:-7.0041 Y4.4673:79.4226 Z23.7900:208.0178
X-7.3953:66.5343 Y8.8113:90.1136 Z32.9109:157.1023
X-3.1741:93.9227 Y13.1678:82.1587 Z39.5012:108.6708
X1.4530:87.3730 Y16.8696:65.2213 Z43.9255:70.3796
X5.2932:65.3117 Y19.6391:45.6205 Z46.7042:42.4158
X7.9188:40.1867 Y21.4484:27.2772 Z48.3076:22.9322
X9.3657:18.8448 Y22.4259:12.6389 Z49.1087:10.0261
X9.9207:6.3585 Y22.7980:4.2610 Z49.4020:3.3538
X10.0015:0.0000 Y22.8520:0.0000 Z49.4441:0.0000
