X-3.1741:31.3419 Y13.1678:27.3506 Z39.5012:36.1503 A-715.8581:-0.5405 B-709.9353:-0.3658 C-512.2510:0.5974
X-1.5988:31.4836 Y14.4947:25.6795 Z41.1911:31.5139 A-733.5195:-0.4602 B-722.0134:-0.3182 C-491.1670:0.5945
X-0.0421:30.6434 Y15.7319:23.7757 Z42.6592:27.2777 A-748.3172:-0.3790 B-732.3574:-0.2680 C-470.5164:0.5735
X1.4530:29.0546 Y16.8696:21.7149 Z43.9255:23.4389 A-760.3022:-0.3013 B-740.9171:-0.2175 C-450.8688:0.5383
X2.8542:26.9235 Y17.9018:19.5617 Z45.0095:19.9837 A-769.6469:-0.2297 B-747.7226:-0.1688 C-432.6499:0.4932
X4.1391:24.4266 Y18.8251:17.3714 Z45.9299:16.8915 A-776.5939:-0.1655 B-752.8655:-0.1234 C-416.1456:0.4418
X5.2932:21.7112 Y19.6391:15.1909 Z46.7042:14.1379 A-781.4185:-0.1094 B-756.4805:-0.0823 C-401.5141:0.3875
X6.3086:18.8990 Y20.3451:13.0606 Z47.3489:11.6972 A-784.4029:-0.0611 B-758.7268:-0.0459 C-388.8034:0.3333
X7.1831:16.0889 Y20.9465:11.0147 Z47.8787:9.5433 A-785.8190:-0.0203 B-759.7736:-0.0143 C-377.9715:0.2813
X7.9188:13.3612 Y21.4484:9.0827 Z48.3076:7.6521 A-785.9177:0.0137 B-759.7884:0.0127 C-368.9063:0.2334
X8.5216:10.7808 Y21.8571:7.2899 Z48.6480:6.0015 A-784.9247:0.0417 B-758.9294:0.0353 C-361.4451:0.1906
X9.0002:8.4003 Y22.1801:5.6581 Z48.9114:4.5729 A-783.0381:0.0645 B-757.3415:0.0541 C-355.3918:0.1536
X9.3657:6.2622 Y22.4259:4.2061 Z49.1087:3.3515 A-780.4305:0.0827 B-755.1545:0.0694 C-350.5315:0.1229
X9.6310:4.4006 Y22.6039:2.9500 Z49.2499:2.3264 A-777.2516:0.0971 B-752.4836:0.0817 C-346.6439:0.0985
X9.8108:2.8430 Y22.7244:1.9033 Z49.3445:1.4905 A-773.6311:0.1055 B-749.4312:0.0891 C-343.5135:0.0790
X9.9207:1.6106 Y22.7980:1.0774 Z49.4020:0.8401 A-769.7426:0.1247 B-746.1401:0.1059 C-340.9646:0.0708
X9.9775:0.7194 Y22.8359:0.4811 Z49.4316:0.3742 A-765.0202:0.1221 B-742.1242:0.1040 C-338.5301:0.0591
X9.9985:0.2401 Y22.8500:0.1606 Z49.4425:0.1249 A-761.1759:0.1165 B-738.8482:0.0994 C-336.7580:0.0518
X10.0015:0.0000 Y22.8520:0.0000 Z49.4441:0.0000 A-756.7983:0.0000 B-735.1082:0.0000 C-334.8728:0.0000
