X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000
X17.1630:-18.0567 Y8.8880:-13.9901 Z-10.0975:4.2127
X16.2532:-18.3352 Y8.1966:-13.6566 Z-9.8619:5.2169
X15.3299:-18.5918 Y7.5231:-13.2738 Z-9.5753:6.2504
X14.3944:-18.8240 Y6.8700:-12.8420 Z-9.2365:7.3083
X13.4479:-19.0289 Y6.2397:-12.3622 Z-8.8442:8.3853
X12.4920:-19.2038 Y5.6346:-11.8359 Z-8.3977:9.4753
X11.5281:-19.3455 Y5.0569:-11.2651 Z-7.8966:10.5718
X10.5580:-19.4512 Y4.5088:-10.6524 Z-7.3405:11.6678
X9.5837:-19.5177 Y3.9923:-10.0009 Z-6.7299:12.7559
X8.6070:-19.5419 Y3.5092:-9.3141 Z-6.0652:13.8285
X7.6302:-19.5209 Y3.0614:-8.5960 Z-5.3474:14.8779
X6.6557:-19.4517 Y2.6501:-7.8508 Z-4.5779:15.8963
X5.6859:-19.3315 Y2.2767:-7.0833 Z-3.7585:16.8761
X4.7234:-19.1576 Y1.9421:-6.2981 Z-2.8911:17.8102
X3.7711:-18.9277 Y1.6471:-5.5004 Z-1.9783:18.6919
X2.8316:-18.6398 Y1.3922:-4.6951 Z-1.0229:19.5150
X1.9081:-18.2923 Y1.1776:-3.8870 Z-0.0279:20.2742
X1.0034:-17.8839 Y1.0034:-3.0812 Z1.0034:20.9650
X0.1207:-17.4140 Y0.8694:-2.2820 Z2.0674:21.5838
X-0.7370:-16.8826 Y0.7750:-1.4941 Z3.1606:22.1279
X-1.5665:-16.2902 Y0.7197:-0.7213 Z4.2790:22.5956
X-2.3650:-15.6380 Y0.7026:0.0325 Z5.4188:22.9863
X-3.1294:-14.9282 Y0.7226:0.7641 Z6.5763:23.3000
X-3.8569:-14.1633 Y0.7786:1.4705 Z7.7476:23.5379
X-4.5448:-13.3468 Y0.8692:2.1492 Z8.9289:23.7018
X-5.1908:-12.4829 Y0.9930:2.7981 Z10.1166:23.7942
X-5.7924:-11.5764 Y1.1485:3.4156 Z11.3072:23.8182
X-6.3478:-10.6326 Y1.3340:4.0002 Z12.4973:23.7774
X-6.8552:-9.6575 Y1.5479:4.5510 Z13.6839:23.6757
X-7.3131:-8.6574 Y1.7885:5.0674 Z14.8639:23.5174
X-7.7206:-7.6390 Y2.0541:5.5491 Z16.0348:23.3069
X-8.0768:-6.6091 Y2.3429:5.9960 Z17.1938:23.0486
X-8.3814:-5.5745 Y2.6531:6.4082 Z18.3389:22.7472
X-8.6343:-4.5421 Y2.9831:6.7863 Z19.4679:22.4070
X-8.8358:-3.5186 Y3.3312:7.1308 Z20.5790:22.0325
X-8.9864:-2.5104 Y3.6957:7.4425 Z21.6706:21.6278
X-9.0872:-1.5233 Y4.0749:7.7221 Z22.7414:21.1971
X-9.1392:-0.5630 Y4.4673:7.9707 Z23.7900:20.7441
X-9.1440:0.3656 Y4.8715:8.1894 Z24.8155:20.2723
X-9.1033:1.2581 Y5.2858:8.3793 Z25.8170:19.7852
X-9.0189:2.1106 Y5.7089:8.5416 Z26.7938:19.2859
X-8.8929:2.9200 Y6.1395:8.6773 Z27.7454:18.7771
X-8.7276:3.6837 Y6.5763:8.7879 Z28.6714:18.2615
X-8.5253:4.3998 Y7.0179:8.8744 Z29.5715:17.7414
X-8.2885:5.0667 Y7.4633:8.9381 Z30.4455:17.2190
X-8.0195:5.6838 Y7.9114:8.9803 Z31.2934:16.6961
X-7.7209:6.2504 Y8.3610:9.0020 Z32.1151:16.1746
X-7.3953:6.7668 Y8.8113:9.0045 Z32.9109:15.6558
X-7.0451:7.2334 Y9.2612:8.9889 Z33.6808:15.1412
X-6.6728:7.6510 Y9.7099:8.9563 Z34.4251:14.6319
X-6.2808:8.0207 Y10.1565:8.9078 Z35.1441:14.1289
X-5.8715:8.3439 Y10.6004:8.8444 Z35.8381:13.6331
X-5.4471:8.6220 Y11.0407:8.7671 Z36.5075:13.1452
X-5.0100:8.8570 Y11.4769:8.6769 Z37.1527:12.6660
X-4.5621:9.0505 Y11.9082:8.5748 Z37.7743:12.1960
X-4.1056:9.2046 Y12.3342:8.4615 Z38.3725:11.7355
X-3.6423:9.3213 Y12.7542:8.3380 Z38.9480:11.2851
X-3.1741:9.4026 Y13.1678:8.2050 Z39.5012:10.8448
X-2.7026:9.4506 Y13.5746:8.0635 Z40.0326:10.4151
X-2.2295:9.4674 Y13.9740:7.9140 Z40.5429:9.9960
X-1.7563:9.4551 Y14.3658:7.7574 Z41.0324:9.5877
X-1.2845:9.4157 Y14.7497:7.5943 Z41.5018:9.1902
X-0.8152:9.3511 Y15.1252:7.4254 Z41.9516:8.8036
X-0.3497:9.2633 Y15.4921:7.2513 Z42.3824:8.4277
X0.1108:9.1541 Y15.8502:7.0726 Z42.7946:8.0627
X0.5654:9.0254 Y16.1993:6.8898 Z43.1888:7.7084
X1.0130:8.8788 Y16.5392:6.7036 Z43.5656:7.3648
X1.4530:8.7161 Y16.8696:6.5144 Z43.9255:7.0316
X1.8844:8.5388 Y17.1906:6.3227 Z44.2689:6.7088
X2.3066:8.3484 Y17.5019:6.1290 Z44.5965:6.3962
X2.7190:8.1464 Y17.8034:5.9338 Z44.9087:6.0937
X3.1211:7.9342 Y18.0952:5.7374 Z45.2060:5.8010
X3.5123:7.7130 Y18.3772:5.5403 Z45.4890:5.5181
X3.8923:7.4841 Y18.6492:5.3429 Z45.7580:5.2446
X4.2606:7.2485 Y18.9115:5.1456 Z46.0136:4.9804
X4.6170:7.0075 Y19.1638:4.9486 Z46.2562:4.7252
