Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
3.633	11.736	0.000	-1.644	23.422	0.000	-0.362	47.840	0.000	2.051
3.668	11.640	-0.005	-1.553	23.400	0.000	-0.362	47.907	0.000	1.984
3.703	11.498	-0.005	-1.409	23.400	0.050	-0.362	47.996	0.000	1.896
3.739	11.447	0.000	-1.356	23.422	-0.050	-0.340	48.062	0.050	1.851
3.775	11.424	0.000	-1.333	23.400	0.000	-0.340	48.040	0.000	1.851
3.812	11.424	0.000	-1.333	23.400	0.000	-0.340	48.040	0.000	1.829
3.846	11.447	0.000	-1.356	23.400	0.050	-0.340	48.040	0.000	1.851
3.881	11.447	0.000	-1.356	23.422	-0.050	-0.340	48.018	-0.005	1.873
3.916	11.424	0.000	-1.356	23.400	0.000	-0.340	48.040	0.000	1.851
3.951	11.447	0.000	-1.356	23.422	0.000	-0.362	48.062	0.000	1.829
3.986	11.424	0.045	-1.300	23.400	0.000	-0.340	48.062	0.000	1.829
4.023	11.402	0.000	-1.311	23.400	0.000	-0.318	48.084	0.000	1.807
4.058	11.402	0.000	-1.311	23.400	0.000	-0.340	48.107	0.000	1.784
4.093	11.380	0.000	-1.289	23.378	0.050	-0.340	48.107	-0.040	1.784
4.129	11.380	0.000	-1.289	23.400	0.000	-0.340	48.107	0.000	1.784
4.163	11.358	0.000	-1.267	23.367	0.000	-0.307	48.129	-0.050	1.740
4.198	11.358	0.000	-1.267	23.400	0.000	-0.318	48.116	0.000	1.762
4.233	11.358	0.000	-1.267	23.378	0.000	-0.318	48.151	0.000	1.740
4.269	11.358	0.000	-1.267	23.378	0.000	-0.318	48.173	0.000	1.740
4.304	11.336	0.000	-1.244	23.378	0.000	-0.318	48.173	0.000	1.718
4.338	11.336	0.000	-1.271	23.378	0.000	-0.318	48.173	0.000	1.718
4.374	11.336	0.000	-1.222	23.378	0.000	-0.318	48.222	0.015	1.684
4.409	11.291	0.000	-1.222	23.378	0.000	-0.318	48.196	0.000	1.696
4.444	11.291	0.000	-1.222	23.378	0.000	-0.318	48.218	-0.050	1.673
4.480	11.291	0.000	-1.200	23.356	0.050	-0.318	48.218	0.050	1.658
4.515	11.291	0.000	-1.200	23.356	0.000	-0.296	48.218	0.000	1.673
4.550	11.291	-0.050	-1.200	23.378	0.000	-0.318	48.240	0.000	1.651
4.585	11.269	0.000	-1.147	23.378	0.050	-0.296	48.240	-0.050	1.651
4.619	11.269	0.000	-1.178	23.356	0.050	-0.318	48.278	0.000	1.618
4.654	11.247	0.050	-1.156	23.356	0.050	-0.296	48.284	0.000	1.607
4.691	11.247	0.000	-1.156	23.378	0.000	-0.318	48.262	0.050	1.629
4.726	11.247	0.000	-1.156	23.356	0.000	-0.296	48.307	0.000	1.584
4.761	11.224	0.000	-1.156	23.356	0.000	-0.318	48.307	0.000	1.607
4.797	11.202	0.000	-1.111	23.356	0.050	-0.296	48.307	0.000	1.562
4.831	11.202	0.000	-1.133	23.356	0.000	-0.318	48.329	0.050	1.562
4.867	11.202	0.000	-1.111	23.356	0.000	-0.296	48.329	0.000	1.562
4.902	11.180	0.000	-1.089	23.356	0.050	-0.296	48.351	0.000	1.518
4.937	11.211	-0.075	-1.118	23.356	0.000	-0.296	48.351	0.000	1.540
4.972	11.158	0.000	-1.089	23.356	0.000	-0.296	48.387	0.000	1.518
5.007	11.158	0.000	-1.089	23.356	0.000	-0.296	48.373	0.000	1.518
5.042	11.158	0.000	-1.067	23.356	0.000	-0.273	48.396	0.000	1.496
5.077	11.158	0.000	-1.067	23.356	-0.050	-0.273	48.396	0.000	1.496
5.112	11.136	0.000	-1.067	23.333	-0.035	-0.273	48.396	0.000	1.518
5.148	11.136	0.000	-1.044	23.333	-0.050	-0.296	48.440	0.000	1.473
5.183	11.136	0.000	-1.044	23.356	-0.050	-0.296	48.418	0.000	1.473
5.217	11.113	0.000	-1.022	23.333	-0.050	-0.273	48.440	0.000	1.451
5.252	11.113	0.000	-1.022	23.356	0.000	-0.296	48.440	0.000	1.451
5.286	11.091	0.000	-1.022	23.333	0.000	-0.273	48.462	0.000	1.429
5.321	11.091	0.000	-1.022	23.333	0.000	-0.273	48.462	-0.050	1.407
5.358	11.069	0.000	-1.000	23.333	0.050	-0.273	48.462	0.000	1.407
5.392	11.069	0.000	-0.978	23.333	0.000	-0.273	48.498	0.025	1.407
5.427	11.069	0.000	-0.978	23.333	0.000	-0.273	48.484	0.000	1.407
5.462	11.069	0.000	-0.978	23.311	0.030	-0.251	48.507	0.000	1.384
5.496	11.047	0.000	-0.978	23.311	0.050	-0.251	48.507	0.030	1.384
5.531	11.047	0.000	-0.956	23.333	0.000	-0.273	48.529	0.025	1.362
5.567	11.069	-0.050	-0.956	23.311	0.000	-0.273	48.504	-0.010	1.378
5.602	11.024	0.000	-0.933	23.311	0.000	-0.251	48.529	0.000	1.344
5.636	11.024	0.000	-0.933	23.311	0.000	-0.251	48.551	0.000	1.340
5.671	11.024	0.000	-0.933	23.333	0.000	-0.273	48.551	0.000	1.340
