Writing PVE Log data!
Sample Time:200
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
2.975	42.580	0.000	0.047	36.867	0.000	0.018	4.996	0.000	-0.058
3.179	42.580	0.000	0.047	36.844	0.000	0.018	4.996	0.000	-0.058
3.387	42.580	0.000	0.047	36.867	0.000	0.018	4.973	0.050	-0.036
3.595	42.580	0.000	0.047	36.867	0.000	0.040	4.996	0.000	-0.058
3.804	42.602	0.000	0.024	36.867	0.050	0.018	4.973	0.000	-0.036
4.013	42.602	-0.050	0.024	36.867	0.000	0.018	4.996	0.000	-0.058
4.222	42.580	0.000	0.024	36.867	0.000	0.040	4.973	0.000	-0.036
4.430	42.602	0.000	0.024	36.867	-0.050	0.018	4.973	0.000	-0.036
4.638	42.602	0.000	0.024	36.867	0.025	0.018	4.973	0.000	-0.036
4.845	42.602	-0.050	0.024	36.867	0.000	0.018	4.973	0.000	-0.036
5.052	42.602	0.000	0.024	36.867	0.000	0.018	4.973	0.000	-0.036
5.258	42.580	0.050	0.024	36.867	0.000	0.018	4.973	0.000	-0.036
5.465	42.602	0.000	0.024	36.867	0.000	0.018	4.996	0.000	-0.036
5.671	42.602	0.000	0.024	36.867	0.000	0.018	4.951	0.000	-0.036
5.874	42.647	0.000	0.202	36.800	0.000	0.360	4.531	-0.020	0.404
6.074	40.236	-0.045	0.607	32.878	-0.035	1.011	-1.411	-0.090	2.260
6.275	21.631	-0.171	0.753	10.467	-0.176	1.222	-12.304	0.015	1.731
6.475	-9.171	-0.040	0.329	3.353	0.015	0.753	21.462	0.241	2.460
6.675	3.607	0.075	0.756	17.947	0.080	1.664	44.647	0.020	2.529
6.891	9.691	0.000	0.400	21.867	0.000	1.193	47.351	0.000	2.562
7.095	11.758	0.000	-1.667	23.467	0.000	-0.429	47.884	0.000	2.051
7.299	11.447	0.000	-1.378	23.444	0.000	-0.362	48.040	0.000	1.851
7.502	11.424	0.000	-1.333	23.422	0.025	-0.362	48.084	0.000	1.807
7.705	11.380	0.000	-1.289	23.422	0.000	-0.362	48.151	0.000	1.740
7.906	11.313	0.000	-1.222	23.400	0.000	-0.362	48.218	0.000	1.673
8.110	11.269	0.000	-1.178	23.400	0.000	-0.340	48.284	0.050	1.607
8.312	11.224	0.000	-1.133	23.378	0.000	-0.340	48.351	0.050	1.562
8.515	11.180	0.000	-1.089	23.378	-0.050	-0.296	48.396	0.000	1.496
8.718	11.113	0.000	-1.044	23.356	0.000	-0.296	48.462	0.000	1.429
8.920	11.091	0.000	-1.000	23.356	-0.050	-0.273	48.507	-0.050	1.384
9.123	11.024	0.000	-0.956	23.333	-0.050	-0.293	48.551	0.000	1.318
9.325	10.980	0.000	-0.911	23.311	0.000	-0.273	48.618	0.000	1.273
9.529	10.958	0.000	-0.844	23.333	0.000	-0.273	48.662	0.000	1.229
9.731	10.913	0.000	-0.822	23.311	0.000	-0.251	48.729	-0.050	1.162
9.934	10.891	0.000	-0.800	23.311	0.000	-0.251	48.773	0.000	1.118
10.137	10.847	0.000	-0.756	23.289	0.020	-0.229	48.818	0.050	1.073
10.340	10.802	0.000	-0.711	23.289	0.000	-0.251	48.862	0.000	1.029
10.545	10.780	0.000	-0.667	23.267	-0.050	-0.229	48.907	-0.050	0.962
10.749	10.758	0.000	-0.667	23.289	0.000	-0.207	48.951	0.050	0.940
10.954	10.713	0.000	-0.622	23.267	0.005	-0.207	49.018	0.000	0.873
11.160	10.691	0.000	-0.600	23.267	0.000	-0.207	49.040	0.000	0.851
11.363	10.669	0.000	-0.578	23.244	0.050	-0.184	49.084	0.000	0.784
11.567	10.647	0.000	-0.556	23.244	0.000	-0.184	49.129	0.050	0.784
