Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
1.752	42.624	0.000	0.002	36.889	0.000	-0.004	4.964	0.020	-0.013
1.797	42.624	0.000	0.002	36.867	0.000	0.018	4.951	0.000	0.009
1.832	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.009
1.869	42.624	0.000	0.002	36.867	0.000	-0.004	4.929	0.050	0.009
1.905	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	0.009
1.941	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	-0.050	-0.013
1.976	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	0.009
2.013	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
2.049	42.624	0.000	0.002	36.867	0.050	0.018	4.951	-0.050	-0.013
2.084	42.624	0.000	0.002	36.867	0.000	-0.004	4.951	0.000	-0.013
2.120	42.624	0.000	0.002	36.867	0.000	0.018	4.929	0.000	0.009
2.157	42.624	0.000	0.002	36.889	0.000	0.018	4.951	0.000	-0.013
2.193	42.624	0.000	0.002	36.867	0.000	0.018	4.962	0.025	0.009
2.229	42.624	0.000	0.002	36.867	-0.050	0.018	4.918	0.000	0.020
2.264	42.624	0.000	0.002	36.889	0.000	-0.004	4.922	-0.015	0.009
2.300	42.624	0.000	0.002	36.867	0.000	0.018	4.929	0.000	-0.013
2.336	42.624	0.000	0.024	36.867	0.000	0.018	4.929	-0.050	-0.013
2.371	42.624	0.000	0.002	36.867	0.000	0.018	4.951	0.000	-0.013
2.408	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
2.444	42.624	0.000	0.002	36.889	0.000	-0.004	4.918	0.000	0.020
2.479	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.050	-0.013
2.515	42.624	0.000	0.002	36.867	0.000	0.018	4.951	0.000	-0.013
2.551	42.624	0.000	0.002	36.867	0.000	0.018	4.951	-0.035	-0.036
2.586	42.624	0.000	0.002	36.867	0.000	0.018	4.984	-0.075	-0.040
2.622	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
2.659	42.624	0.000	0.002	36.867	0.000	0.018	4.951	0.000	0.009
2.695	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	-0.050	-0.013
2.730	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
2.767	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	0.009
2.803	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
2.839	42.624	0.000	0.002	36.889	0.000	0.018	4.929	-0.050	-0.013
2.874	42.624	0.000	0.002	36.867	-0.050	0.018	4.951	0.000	-0.013
2.911	42.624	0.000	0.024	36.867	0.050	-0.004	4.951	0.040	0.009
2.947	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.009
2.983	42.624	0.000	0.002	36.867	0.050	0.018	4.929	0.000	-0.013
3.019	42.624	0.000	0.002	36.867	0.000	0.018	4.929	0.000	-0.013
3.055	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
3.090	42.624	0.000	0.002	36.867	0.000	-0.004	4.929	0.000	-0.013
3.126	42.624	0.000	0.002	36.889	-0.050	0.018	4.929	-0.050	0.009
3.162	42.624	0.000	0.002	36.867	0.050	0.018	4.951	0.025	-0.031
3.198	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
3.234	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
3.269	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
3.305	42.624	0.000	0.002	36.867	0.000	0.018	4.929	0.000	0.009
3.340	42.624	0.000	0.002	36.867	0.050	0.018	4.951	0.025	0.020
3.376	42.624	0.000	0.002	36.867	0.050	0.018	4.951	0.075	0.016
3.411	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.031
3.448	42.624	0.000	0.002	36.867	0.000	0.018	4.929	0.050	0.009
3.484	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
3.519	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	0.000	-0.013
3.555	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	-0.040	-0.013
3.591	42.624	0.000	0.002	36.889	0.000	0.018	4.951	0.000	-0.013
3.627	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	0.000	-0.013
3.663	42.624	0.000	0.002	36.867	0.000	-0.004	4.951	0.000	-0.013
3.688	42.624	0.000	0.002	36.889	-0.050	0.018	4.929	0.050	0.009
3.724	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
3.759	42.624	0.000	0.002	36.867	0.000	-0.004	4.929	0.000	0.009
3.784	42.624	0.000	0.002	36.889	0.000	0.018	4.951	0.050	0.009
3.809	42.624	0.000	0.013	36.889	0.000	0.073	4.916	-0.030	0.024
3.844	42.700	0.000	0.287	36.822	0.000	0.391	4.513	-0.020	0.456
3.879	42.544	-0.010	0.436	36.402	-0.015	0.762	3.513	-0.060	1.360
3.913	42.256	-0.005	0.596	35.856	0.000	1.093	2.398	-0.030	2.198
3.950	41.869	-0.015	0.667	35.280	-0.020	1.193	1.407	-0.035	2.536
3.985	41.296	-0.025	0.667	34.464	-0.035	1.153	0.442	-0.025	2.502
4.019	40.387	-0.035	0.629	33.204	-0.060	1.078	-1.013	-0.070	2.342
4.054	39.082	-0.055	0.542	31.222	-0.095	1.056	-2.916	-0.055	2.224
4.088	37.213	-0.065	0.416	28.544	-0.100	1.096	-5.280	-0.075	2.167
4.122	34.533	-0.100	0.424	24.993	-0.100	1.173	-7.962	-0.075	2.207
4.159	30.971	-0.136	0.569	20.660	-0.161	1.224	-10.438	-0.065	2.131
4.193	26.389	-0.131	0.749	15.682	-0.156	1.244	-12.089	-0.025	1.938
4.228	21.076	-0.176	0.769	10.520	-0.156	1.260	-12.371	0.000	1.738
