Writing PVE Log data!
Sample Time:50
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
5.296	11.113	0.000	-1.022	23.356	0.050	-0.318	48.462	0.000	1.429
5.355	11.113	0.000	-1.022	23.356	0.000	-0.296	48.462	0.000	1.407
5.412	11.091	0.000	-1.000	23.356	0.000	-0.296	48.507	0.000	1.384
5.470	11.091	0.000	-1.000	23.356	0.000	-0.296	48.507	0.000	1.362
5.528	11.069	-0.050	-0.978	23.333	0.000	-0.296	48.529	0.000	1.344
5.585	11.047	0.000	-0.956	23.356	0.000	-0.273	48.551	0.000	1.340
5.644	11.047	0.000	-0.956	23.356	0.000	-0.296	48.573	0.050	1.340
5.701	11.024	0.000	-0.933	23.333	0.000	-0.273	48.596	0.000	1.318
5.759	11.002	0.000	-0.911	23.333	0.000	-0.296	48.596	0.000	1.296
5.817	11.024	0.000	-0.933	23.333	0.000	-0.296	48.618	0.000	1.273
5.874	11.002	0.000	-0.911	23.333	0.000	-0.273	48.618	0.000	1.273
5.932	11.002	0.000	-0.911	23.333	0.025	-0.273	48.662	0.000	1.251
5.989	10.980	0.000	-0.889	23.333	0.050	-0.251	48.662	0.000	1.229
6.047	10.958	0.000	-0.889	23.300	0.075	-0.249	48.684	0.000	1.207
6.105	10.958	0.000	-0.867	23.333	0.050	-0.251	48.684	0.030	1.176
6.162	10.936	0.000	-0.844	23.333	0.000	-0.251	48.676	0.000	1.200
6.221	10.913	0.050	-0.844	23.333	0.000	-0.273	48.729	0.000	1.162
6.280	10.936	-0.050	-0.844	23.311	0.000	-0.251	48.729	0.000	1.162
6.338	10.891	0.000	-0.822	23.311	0.000	-0.251	48.729	0.050	1.162
6.396	10.913	0.000	-0.822	23.311	0.000	-0.251	48.751	0.000	1.118
6.452	10.891	0.000	-0.778	23.311	0.000	-0.273	48.773	0.025	1.131
6.509	10.869	0.000	-0.778	23.311	-0.010	-0.222	48.796	0.000	1.096
6.567	10.869	0.000	-0.778	23.311	0.000	-0.251	48.796	0.000	1.096
6.624	10.847	0.000	-0.756	23.333	-0.050	-0.251	48.796	-0.050	1.073
6.681	10.847	0.000	-0.756	23.311	0.000	-0.251	48.818	0.000	1.073
6.738	10.847	0.000	-0.756	23.311	0.000	-0.251	48.840	0.025	1.051
6.795	10.824	0.000	-0.733	23.289	0.050	-0.229	48.862	-0.050	1.029
