Writing PVE Log data!
Sample Time:200
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
1.178	42.624	0.000	-0.020	36.867	-0.050	-0.004	4.929	0.000	0.009
1.381	42.624	0.000	-0.020	36.889	0.050	-0.004	4.951	0.000	0.009
1.592	42.624	0.000	-0.020	36.889	0.000	-0.004	4.929	0.000	-0.013
1.801	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	-0.050	-0.013
2.010	42.624	0.000	-0.020	36.889	0.000	0.018	4.951	0.000	0.009
2.218	42.624	0.000	0.002	36.889	0.050	0.018	4.951	0.000	-0.013
2.425	42.624	0.000	0.002	36.867	0.000	-0.004	4.951	0.000	0.009
2.634	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
2.858	42.647	0.000	0.004	36.889	0.000	0.040	4.951	0.000	0.000
3.060	42.369	0.000	0.587	36.013	0.035	1.122	2.684	-0.025	2.171
3.261	37.444	-0.065	0.433	28.511	-0.110	1.047	-5.536	-0.080	2.200
3.461	10.771	-0.186	0.584	2.367	-0.115	1.544	-7.556	0.151	1.704
3.661	-8.558	0.035	0.640	8.629	0.105	0.793	32.353	0.151	2.444
3.862	7.404	0.040	0.480	20.202	0.035	1.620	46.544	0.020	2.467
4.079	10.167	0.055	0.004	22.756	0.005	0.316	47.827	0.000	2.096
4.286	11.580	-0.005	-1.493	23.467	0.000	-0.373	47.996	-0.050	1.896
4.491	11.469	0.000	-1.378	23.444	0.050	-0.407	48.084	0.000	1.807
4.693	11.424	0.000	-1.333	23.444	0.050	-0.362	48.151	0.000	1.740
4.895	11.358	0.050	-1.267	23.444	-0.050	-0.362	48.218	0.000	1.673
5.098	11.313	0.000	-1.222	23.400	0.000	-0.340	48.262	0.000	1.629
5.301	11.291	-0.050	-1.178	23.400	0.000	-0.340	48.329	0.000	1.562
5.503	11.202	0.000	-1.111	23.400	0.000	-0.340	48.373	0.000	1.518
5.707	11.158	0.000	-1.089	23.378	0.000	-0.318	48.418	0.000	1.451
5.910	11.136	0.000	-1.044	23.356	-0.050	-0.296	48.484	0.000	1.384
6.115	11.069	0.000	-0.978	23.356	0.000	-0.318	48.551	0.000	1.340
6.318	11.024	0.000	-0.956	23.356	0.000	-0.296	48.618	0.025	1.273
6.520	11.002	0.000	-0.911	23.356	0.000	-0.273	48.662	0.000	1.251
6.722	10.958	0.000	-0.867	23.333	0.000	-0.273	48.729	0.000	1.162
6.924	10.913	0.000	-0.822	23.333	0.000	-0.251	48.773	0.000	1.118
7.126	10.891	0.000	-0.800	23.333	0.000	-0.251	48.796	0.000	1.073
7.329	10.847	0.000	-0.778	23.289	0.000	-0.251	48.862	0.000	1.029
7.532	10.802	0.000	-0.711	23.289	0.000	-0.251	48.907	0.000	0.984
7.734	10.780	0.000	-0.689	23.289	0.050	-0.229	48.951	0.000	0.940
7.939	10.758	-0.050	-0.644	23.267	-0.050	-0.207	48.996	0.000	0.896
8.145	10.713	0.000	-0.622	23.267	0.000	-0.207	49.040	0.000	0.851
8.350	10.691	0.000	-0.600	23.267	0.000	-0.207	49.084	-0.050	0.807
