Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
3.815	42.624	0.000	0.002	36.867	0.000	-0.004	4.951	0.000	0.009
3.851	42.647	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
3.886	42.647	0.000	-0.020	36.889	-0.050	0.018	4.951	0.000	0.009
3.923	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
3.958	42.647	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
3.994	42.647	-0.050	0.002	36.867	0.000	0.018	4.951	0.000	-0.013
4.030	42.624	0.000	0.002	36.889	0.000	0.024	4.929	-0.050	-0.013
4.066	42.624	0.000	0.002	36.889	0.000	0.018	4.951	-0.050	-0.013
4.102	42.624	0.000	-0.020	36.889	0.000	-0.004	4.951	0.000	0.009
4.129	42.624	0.000	0.002	36.889	0.025	-0.004	4.929	-0.050	-0.013
4.164	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
4.189	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
4.225	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
4.261	42.624	0.000	0.002	36.867	0.050	0.018	4.929	0.000	0.009
4.297	42.624	0.000	-0.020	36.869	0.050	0.011	4.951	-0.050	-0.013
4.335	42.624	-0.050	0.002	36.867	-0.050	0.013	4.951	0.000	0.013
4.360	42.647	0.000	0.036	36.889	0.000	0.182	4.818	0.000	0.153
4.397	42.604	-0.010	0.411	36.558	-0.010	0.647	3.918	0.000	1.033
4.431	42.249	-0.030	0.707	35.858	-0.010	1.240	2.440	-0.030	2.364
4.466	41.818	0.000	0.942	35.200	-0.045	1.607	1.140	-0.020	3.240
4.501	41.384	-0.040	0.991	34.444	-0.020	1.742	0.111	-0.015	3.509
4.535	40.664	0.000	0.987	33.433	-0.035	1.742	-0.989	-0.035	3.424
4.569	39.624	-0.035	0.927	31.876	-0.125	1.720	-2.553	-0.055	3.249
4.605	38.080	-0.065	0.856	29.582	-0.085	1.796	-4.704	-0.075	3.082
4.640	35.818	-0.075	0.880	26.511	-0.110	1.873	-7.282	-0.080	3.056
4.675	32.604	-0.105	1.109	22.484	-0.100	1.987	-9.773	-0.095	2.856
4.710	28.413	-0.131	1.340	17.987	-0.161	1.962	-11.727	-0.030	2.556
4.745	23.549	-0.146	1.562	13.031	-0.161	1.896	-12.693	0.000	2.140
4.779	17.978	-0.181	1.516	7.944	-0.151	1.876	-12.098	0.065	1.758
4.815	11.989	-0.176	1.402	3.307	-0.125	1.873	-9.233	0.136	1.524
