Writing PVE Log data!
Sample Time:50
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
5.805	11.109	0.015	-1.471	23.109	0.015	-0.278	47.862	-0.050	1.862
5.864	11.640	0.000	-1.571	23.378	0.050	-0.324	47.840	0.000	2.049
5.923	11.591	-0.005	-1.507	23.422	0.000	-0.362	47.818	-0.050	2.051
5.983	11.547	0.000	-1.456	23.422	0.000	-0.362	47.929	0.000	1.962
6.040	11.513	0.000	-1.444	23.400	0.000	-0.340	47.951	0.000	1.940
6.099	11.513	0.000	-1.422	23.422	0.000	-0.362	47.973	-0.050	1.940
6.157	11.513	0.000	-1.422	23.422	0.000	-0.362	47.973	0.025	1.907
6.215	11.513	0.000	-1.422	23.422	0.000	-0.340	47.996	0.000	1.896
6.273	11.469	0.000	-1.400	23.422	0.000	-0.362	47.996	0.050	1.873
6.330	11.469	0.000	-1.378	23.400	0.000	-0.340	48.018	0.050	1.851
6.388	11.469	0.000	-1.378	23.422	0.000	-0.362	48.062	-0.050	1.829
6.447	11.447	0.000	-1.356	23.400	0.000	-0.353	48.040	0.000	1.842
6.504	11.424	0.000	-1.333	23.400	0.000	-0.340	48.084	0.000	1.807
6.563	11.402	0.000	-1.311	23.400	-0.050	-0.318	48.107	0.050	1.807
6.620	11.389	0.000	-1.298	23.378	0.000	-0.318	48.107	0.000	1.762
6.679	11.380	0.000	-1.289	23.400	-0.050	-0.340	48.151	0.000	1.740
6.737	11.336	0.000	-1.267	23.378	0.000	-0.340	48.151	0.000	1.740
6.795	11.358	0.000	-1.267	23.400	-0.050	-0.318	48.173	0.000	1.718
6.853	11.336	0.000	-1.244	23.378	0.050	-0.318	48.196	0.000	1.696
6.911	11.302	-0.005	-1.211	23.398	-0.060	-0.344	48.196	0.000	1.696
6.969	11.313	0.000	-1.222	23.400	0.000	-0.318	48.218	0.050	1.673
7.027	11.269	0.000	-1.178	23.360	0.035	-0.304	48.240	0.000	1.651
7.085	11.269	0.000	-1.178	23.356	0.000	-0.296	48.240	-0.050	1.629
7.143	11.247	0.000	-1.156	23.378	-0.050	-0.318	48.284	0.000	1.584
7.200	11.247	0.000	-1.156	23.356	0.000	-0.296	48.307	0.000	1.584
7.258	11.224	0.000	-1.133	23.356	-0.050	-0.318	48.307	0.000	1.584
7.317	11.224	0.000	-1.133	23.378	0.000	-0.296	48.329	0.000	1.562
7.374	11.202	0.000	-1.111	23.356	0.000	-0.296	48.351	0.000	1.540
7.433	11.180	0.000	-1.111	23.378	-0.050	-0.296	48.351	0.000	1.540
7.490	11.158	0.000	-1.067	23.356	0.000	-0.296	48.373	-0.005	1.531
7.549	11.180	0.000	-1.089	23.356	0.000	-0.296	48.418	0.000	1.496
7.607	11.136	0.000	-1.044	23.356	0.000	-0.296	48.396	0.000	1.496
7.664	11.136	0.000	-1.044	23.356	0.000	-0.296	48.418	0.000	1.473
7.722	11.113	0.000	-1.044	23.333	0.000	-0.273	48.429	0.025	1.451
7.780	11.113	0.000	-1.022	23.356	0.000	-0.296	48.462	0.000	1.429
7.838	11.091	0.000	-1.000	23.356	0.000	-0.296	48.484	0.000	1.407
7.896	11.091	0.000	-0.978	23.333	0.000	-0.273	48.507	-0.050	1.384
7.953	11.069	0.000	-0.978	23.356	0.000	-0.273	48.507	0.000	1.384
8.011	11.047	0.000	-0.956	23.333	0.000	-0.273	48.529	0.000	1.362
8.069	11.047	0.000	-0.956	23.333	-0.050	-0.273	48.551	0.000	1.340
8.125	11.024	0.000	-0.933	23.333	0.000	-0.273	48.551	0.000	1.340
8.183	11.002	0.000	-0.911	23.333	0.000	-0.273	48.551	0.000	1.340
8.240	11.024	-0.050	-0.933	23.333	0.000	-0.273	48.573	0.000	1.318
8.298	10.989	0.025	-0.911	23.333	-0.050	-0.251	48.618	0.000	1.273
8.357	10.980	0.000	-0.889	23.311	0.000	-0.251	48.618	0.000	1.273
8.414	10.958	0.000	-0.889	23.311	0.050	-0.251	48.640	0.000	1.251
8.472	10.980	0.000	-0.867	23.333	0.000	-0.273	48.640	0.050	1.251
8.531	10.958	0.000	-0.867	23.333	-0.050	-0.251	48.662	0.000	1.229
8.589	10.936	0.000	-0.844	23.311	0.000	-0.251	48.707	-0.050	1.207
8.647	10.936	0.000	-0.856	23.311	0.000	-0.251	48.707	0.000	1.207
8.705	10.913	0.000	-0.822	23.311	0.000	-0.251	48.707	0.050	1.162
8.763	10.913	0.000	-0.822	23.289	0.000	-0.229	48.729	0.000	1.162
8.821	10.891	0.000	-0.800	23.311	0.050	-0.229	48.729	0.000	1.162
8.878	10.891	0.000	-0.800	23.311	-0.050	-0.229	48.751	0.000	1.140
8.936	10.891	0.000	-0.778	23.289	0.000	-0.251	48.751	0.000	1.140
8.993	10.891	0.000	-0.800	23.289	0.000	-0.229	48.773	0.000	1.140
9.052	10.847	0.000	-0.756	23.289	0.000	-0.229	48.796	0.000	1.096
9.110	10.847	0.000	-0.756	23.289	0.050	-0.229	48.818	-0.050	1.096
9.168	10.847	0.000	-0.756	23.289	0.000	-0.229	48.818	0.000	1.073
9.227	10.824	0.000	-0.733	23.289	0.000	-0.229	48.818	-0.050	1.051
9.285	10.802	0.000	-0.733	23.267	0.000	-0.229	48.840	0.000	1.051
9.344	10.802	0.000	-0.711	23.289	0.000	-0.207	48.840	0.000	1.051
9.405	10.802	0.000	-0.711	23.289	0.000	-0.229	48.862	0.050	1.029
9.464	10.802	0.000	-0.689	23.267	0.000	-0.207	48.884	0.000	1.007
9.523	10.780	0.000	-0.689	23.267	0.000	-0.207	48.907	0.000	1.007
9.582	10.780	0.000	-0.689	23.267	0.000	-0.207	48.929	0.000	0.962
9.641	10.780	0.000	-0.689	23.289	-0.050	-0.229	48.929	0.000	0.962
9.700	10.758	0.000	-0.667	23.267	0.000	-0.207	48.951	0.000	0.940
9.759	10.736	0.000	-0.644	23.267	0.000	-0.207	48.951	0.000	0.940
9.818	10.736	0.000	-0.644	23.267	0.050	-0.207	48.951	0.000	0.918
9.876	10.736	0.000	-0.644	23.289	0.000	-0.207	49.007	0.000	0.887
9.934	10.736	0.000	-0.644	23.267	0.000	-0.207	49.018	0.000	0.873
9.992	10.713	0.000	-0.622	23.267	0.000	-0.184	49.018	0.000	0.873
