Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
2.976	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
3.011	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	-0.013
3.047	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.050	0.009
3.082	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
3.119	42.624	0.000	0.002	36.867	0.000	-0.004	4.929	0.000	-0.013
3.154	42.624	0.000	0.024	36.867	0.000	0.018	4.951	0.000	-0.013
3.191	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	-0.050	-0.013
3.227	42.624	0.000	0.002	36.856	0.075	0.020	4.951	0.000	-0.013
3.262	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.016
3.299	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
3.334	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
3.370	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
3.395	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.050	0.009
3.431	42.624	0.000	0.002	36.867	0.000	0.018	4.951	0.000	-0.013
3.467	42.624	0.000	0.002	36.889	0.000	0.018	4.951	0.000	-0.013
3.504	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
3.539	42.624	0.000	0.002	36.889	0.050	-0.004	4.951	0.000	0.009
3.576	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.050	0.009
3.611	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.020
3.647	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
3.683	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
3.718	42.624	0.000	0.002	36.867	0.000	-0.004	4.951	0.000	-0.013
3.754	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
3.789	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
3.826	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	0.009
3.861	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	-0.050	-0.013
3.897	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.050	0.009
3.932	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
3.969	42.624	0.000	0.002	36.889	-0.050	-0.004	4.929	0.050	0.009
4.004	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
4.040	42.624	0.000	0.002	36.889	0.000	0.018	4.951	0.000	-0.013
4.077	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
4.112	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	0.000	-0.013
4.148	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	0.000	-0.013
4.184	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
4.220	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	0.000	-0.013
4.255	42.624	0.000	0.002	36.889	-0.050	0.018	4.929	0.050	-0.013
4.291	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
4.327	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.009
4.363	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
4.398	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
4.433	42.624	0.000	0.002	36.867	0.000	-0.004	4.929	0.000	0.009
4.469	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
4.505	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.050	-0.013
4.540	42.624	0.000	0.002	36.889	-0.050	0.018	4.929	-0.050	-0.013
4.577	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
4.612	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
4.648	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	-0.013
4.683	42.624	0.000	0.002	36.889	0.000	0.018	4.951	0.000	0.009
4.718	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	-0.050	-0.013
4.754	42.624	0.000	0.002	36.889	0.050	-0.004	4.951	0.050	0.009
4.789	42.624	0.000	0.002	36.867	-0.050	0.018	4.951	0.000	-0.013
4.825	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
4.861	42.624	0.000	0.002	36.867	0.000	-0.004	4.951	0.000	-0.013
4.897	42.624	0.000	0.002	36.867	0.050	0.018	4.951	0.050	0.009
4.933	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	0.000	0.009
4.969	42.624	0.000	0.002	36.867	0.050	0.018	4.929	0.000	0.009
4.994	42.624	0.000	0.002	36.867	0.050	0.013	4.929	0.000	0.009
5.029	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
5.065	42.624	0.000	0.002	36.873	-0.010	-0.004	4.929	0.000	-0.013
5.100	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
5.136	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
5.171	42.624	0.000	0.002	36.867	0.000	0.018	4.929	0.000	0.009
5.206	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
5.242	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
5.278	42.624	0.000	0.002	36.867	0.000	0.018	4.929	0.000	-0.013
5.315	42.624	0.000	0.002	36.867	0.000	-0.004	4.951	0.000	-0.013
5.351	42.624	0.000	0.002	36.889	-0.050	0.018	4.929	0.000	-0.013
5.387	42.624	0.000	0.002	36.867	0.000	0.018	4.929	0.000	-0.013
5.425	42.624	0.000	0.007	36.889	0.000	0.029	4.951	0.000	0.016
5.452	42.647	0.000	0.104	36.911	-0.050	0.204	4.862	0.000	0.109
5.486	42.669	0.000	0.344	36.689	-0.015	0.516	4.178	-0.005	0.784
5.521	42.436	-0.015	0.516	36.200	0.000	0.904	3.064	-0.010	1.742
5.556	42.113	-0.010	0.649	35.644	-0.020	1.142	1.962	-0.030	2.413
5.592	41.669	-0.015	0.660	34.967	-0.015	1.187	1.000	-0.040	2.551
5.626	40.969	0.000	0.649	34.029	-0.020	1.067	-0.147	-0.040	2.440
5.661	39.893	-0.035	0.571	32.511	-0.060	1.004	-1.793	-0.045	2.291
5.697	38.373	-0.060	0.484	30.229	-0.085	1.016	-3.936	-0.060	2.173
5.731	36.184	-0.060	0.373	27.136	-0.105	1.073	-6.571	-0.085	2.213
5.766	33.116	-0.090	0.444	23.202	-0.136	1.182	-9.018	-0.075	2.158
5.800	29.178	-0.120	0.600	18.636	-0.120	1.176	-11.264	-0.055	2.038
5.835	24.227	-0.151	0.731	13.433	-0.110	1.207	-12.413	-0.020	1.840
5.870	18.662	-0.181	0.689	8.218	-0.166	1.300	-11.884	0.025	1.687
5.905	12.273	-0.211	0.596	3.464	-0.151	1.518	-9.147	0.141	1.660
5.940	5.616	-0.201	0.493	0.367	-0.045	1.564	-4.027	0.176	1.791
5.974	-0.649	-0.171	0.378	-0.667	0.000	1.404	2.831	0.221	2.149
6.009	-5.716	-0.125	0.320	0.236	0.045	1.113	10.673	0.251	2.396
6.043	-8.838	-0.055	0.287	2.502	0.085	0.780	18.716	0.226	2.473
6.077	-9.620	0.000	0.440	5.344	0.085	0.669	25.771	0.206	2.513
6.112	-8.518	0.040	0.711	8.384	0.080	0.776	31.676	0.166	2.467
6.146	-6.096	0.080	0.947	11.202	0.065	0.931	36.244	0.115	2.451
6.181	-2.964	0.095	1.042	13.713	0.085	1.298	39.909	0.075	2.460
6.216	0.464	0.095	0.947	16.031	0.015	1.476	42.640	0.055	2.438
6.251	3.542	0.050	0.776	17.809	0.080	1.642	44.504	0.035	2.458
6.286	5.976	0.050	0.602	19.320	0.010	1.647	45.807	0.050	2.469
6.322	7.767	0.025	0.409	20.376	0.025	1.580	46.653	-0.040	2.422
6.356	8.929	0.030	0.322	21.082	0.015	1.524	47.156	0.000	2.409
6.391	9.484	0.040	0.324	21.511	0.000	1.416	47.351	0.000	2.447
6.426	9.691	0.000	0.353	21.711	0.050	1.331	47.373	0.000	2.509
6.460	9.736	0.000	0.356	21.989	0.020	1.049	47.440	0.000	2.460
6.495	10.144	0.010	-0.044	22.744	0.015	0.318	47.818	-0.055	2.093
6.531	11.002	0.025	-0.904	23.453	0.000	-0.396	48.076	0.000	1.820
6.568	11.527	0.045	-1.393	23.667	0.000	-0.584	48.062	0.000	1.829
6.604	11.780	0.050	-1.689	23.553	-0.035	-0.518	47.951	0.000	1.940
6.639	11.802	-0.020	-1.711	23.467	-0.050	-0.429	47.884	0.000	2.007
6.674	11.678	0.000	-1.602	23.444	0.000	-0.384	47.907	-0.050	1.984
6.709	11.567	-0.005	-1.478	23.444	0.000	-0.407	47.996	0.000	1.896
6.745	11.502	0.000	-1.411	23.444	0.050	-0.407	48.062	0.000	1.851
6.779	11.478	0.030	-1.387	23.444	0.000	-0.407	48.084	0.000	1.807
6.814	11.491	0.000	-1.378	23.476	-0.075	-0.384	48.107	0.000	1.807
6.849	11.491	0.000	-1.400	23.444	0.000	-0.384	48.084	0.000	1.807
6.883	11.513	0.000	-1.422	23.476	0.005	-0.416	48.084	0.050	1.807
6.919	11.469	0.000	-1.400	23.444	0.000	-0.384	48.084	0.000	1.807
6.953	11.469	0.000	-1.378	23.467	0.000	-0.407	48.084	0.025	1.807
6.989	11.469	0.000	-1.378	23.444	-0.030	-0.384	48.091	0.000	1.784
7.024	11.447	0.000	-1.356	23.444	0.000	-0.384	48.107	0.050	1.784
7.058	11.447	0.000	-1.356	23.444	0.000	-0.384	48.129	0.050	1.784
7.093	11.447	0.000	-1.356	23.444	-0.030	-0.384	48.151	0.000	1.740
7.128	11.424	0.000	-1.333	23.444	0.000	-0.384	48.151	-0.040	1.740
7.163	11.424	0.000	-1.333	23.444	-0.050	-0.384	48.151	0.000	1.740
7.199	11.402	0.000	-1.289	23.444	-0.035	-0.384	48.151	0.050	1.740
7.233	11.402	0.000	-1.311	23.444	0.000	-0.362	48.196	0.000	1.718
7.268	11.402	0.000	-1.289	23.422	0.000	-0.362	48.173	0.000	1.718
7.303	11.380	0.000	-1.289	23.422	0.000	-0.362	48.196	0.000	1.696
7.338	11.380	0.000	-1.267	23.422	0.000	-0.362	48.218	-0.050	1.673
7.372	11.358	0.000	-1.267	23.444	0.000	-0.362	48.196	0.050	1.696
7.408	11.358	0.000	-1.267	23.444	0.000	-0.362	48.218	0.050	1.651
7.442	11.358	0.000	-1.267	23.422	0.005	-0.384	48.240	0.000	1.651
7.477	11.358	0.000	-1.244	23.422	0.000	-0.362	48.240	0.000	1.651
7.511	11.336	0.000	-1.244	23.422	0.000	-0.362	48.262	0.000	1.651
7.546	11.313	0.000	-1.222	23.400	0.050	-0.340	48.262	0.000	1.629
7.581	11.300	-0.015	-1.222	23.400	0.000	-0.362	48.284	-0.050	1.584
7.617	11.313	-0.050	-1.222	23.400	0.000	-0.340	48.284	0.000	1.584
7.652	11.269	0.050	-1.178	23.422	-0.050	-0.362	48.307	0.000	1.584
7.688	11.269	0.000	-1.178	23.400	0.000	-0.340	48.307	0.000	1.562
7.723	11.269	0.000	-1.178	23.422	0.000	-0.340	48.307	0.000	1.584
7.757	11.269	-0.050	-1.178	23.400	0.000	-0.340	48.329	0.000	1.562
7.792	11.247	0.000	-1.156	23.400	0.000	-0.340	48.329	0.000	1.562
7.828	11.247	-0.050	-1.156	23.400	0.000	-0.340	48.351	0.000	1.540
7.862	11.247	0.000	-1.156	23.400	0.000	-0.340	48.373	0.050	1.518
7.897	11.224	0.000	-1.133	23.400	0.000	-0.340	48.373	0.000	1.518
7.931	11.224	0.000	-1.133	23.400	0.000	-0.340	48.396	0.000	1.496
7.966	11.224	0.000	-1.133	23.378	0.000	-0.340	48.396	0.000	1.496
8.001	11.202	0.000	-1.111	23.400	-0.050	-0.318	48.396	0.000	1.496
8.036	11.202	0.000	-1.111	23.378	0.000	-0.318	48.396	0.000	1.496
8.072	11.180	0.000	-1.089	23.400	-0.050	-0.340	48.418	0.050	1.473
8.107	11.180	0.000	-1.089	23.378	0.050	-0.318	48.418	0.000	1.473
8.142	11.158	0.000	-1.067	23.362	0.030	-0.318	48.440	0.000	1.451
8.177	11.158	0.000	-1.089	23.378	0.000	-0.318	48.462	0.000	1.429
8.212	11.158	0.000	-1.067	23.378	0.050	-0.318	48.451	0.000	1.429
8.247	11.136	0.000	-1.044	23.378	0.000	-0.318	48.484	-0.050	1.407
8.283	11.120	-0.020	-1.044	23.378	0.000	-0.318	48.484	-0.035	1.391
8.317	11.136	0.000	-1.044	23.356	0.000	-0.296	48.484	0.000	1.384
8.353	11.113	0.000	-1.022	23.378	-0.050	-0.318	48.507	0.000	1.384
8.388	11.113	0.000	-1.022	23.378	0.000	-0.318	48.507	0.000	1.384
8.423	11.113	0.000	-1.022	23.356	0.000	-0.296	48.529	0.000	1.362
8.458	11.091	0.000	-1.000	23.356	0.000	-0.296	48.529	0.000	1.362
8.493	11.091	0.000	-1.000	23.378	0.000	-0.318	48.529	0.000	1.362
8.528	11.069	0.000	-0.978	23.356	0.025	-0.296	48.551	0.000	1.340
