Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
1.951	42.558	0.050	0.069	36.844	0.000	0.018	5.040	0.000	-0.102
2.013	42.558	0.000	0.069	36.844	0.000	0.040	5.040	0.000	-0.102
2.048	42.580	0.000	0.047	36.867	-0.050	0.018	5.040	0.000	-0.102
2.084	42.580	0.000	0.047	36.844	0.000	0.040	5.040	0.000	-0.102
2.119	42.580	0.000	0.047	36.844	-0.050	0.018	5.040	0.000	-0.102
2.155	42.580	0.000	0.069	36.844	0.050	0.040	5.040	0.000	-0.102
2.191	42.580	0.000	0.069	36.844	0.000	0.040	5.040	0.000	-0.102
2.228	42.558	0.000	0.069	36.867	0.000	0.040	5.040	0.000	-0.102
2.263	42.580	0.000	0.047	36.867	0.000	0.018	5.018	0.000	-0.080
2.300	42.580	0.000	0.069	36.867	-0.050	0.040	5.018	0.000	-0.080
2.336	42.558	0.000	0.047	36.844	0.000	0.040	5.018	0.000	-0.080
2.372	42.580	0.000	0.047	36.867	0.000	0.018	5.018	0.000	-0.080
2.409	42.580	0.000	0.069	36.867	0.000	0.018	5.040	-0.050	-0.080
2.445	42.580	0.000	0.047	36.844	0.000	0.040	5.018	0.000	-0.080
2.481	42.580	0.000	0.047	36.844	0.000	0.040	5.018	0.000	-0.080
2.518	42.580	0.000	0.047	36.844	0.050	0.040	5.018	0.000	-0.080
2.554	42.580	0.000	0.047	36.867	0.000	0.018	5.018	0.000	-0.080
2.590	42.580	0.000	0.047	36.844	-0.050	0.018	5.018	0.000	-0.080
2.627	42.558	0.000	0.047	36.844	0.050	0.018	5.018	0.000	-0.080
2.663	42.580	0.000	0.047	36.867	0.000	0.018	5.018	0.000	-0.080
2.699	42.580	0.000	0.047	36.844	0.050	0.018	5.040	-0.050	-0.080
2.735	42.580	-0.050	0.069	36.867	0.000	0.018	5.018	0.000	-0.080
2.771	42.558	0.000	0.069	36.867	0.000	0.018	5.018	0.000	-0.080
2.807	42.580	-0.050	0.047	36.867	0.000	0.040	5.018	0.000	-0.080
2.843	42.580	0.000	0.047	36.844	0.000	0.018	5.018	0.000	-0.080
2.878	42.580	0.000	0.047	36.867	0.000	0.040	5.040	0.000	-0.080
2.914	42.580	0.000	0.047	36.844	-0.050	0.018	5.018	0.000	-0.080
2.950	42.580	0.000	0.047	36.867	-0.040	0.018	5.018	0.000	-0.102
2.986	42.580	0.000	0.047	36.867	-0.050	0.018	5.018	0.000	-0.102
3.022	42.580	0.000	0.047	36.844	0.000	0.040	5.018	0.000	-0.080
3.058	42.580	0.000	0.047	36.844	0.000	0.018	5.018	-0.050	-0.080
3.093	42.558	0.000	0.047	36.867	0.000	0.040	5.018	0.000	-0.080
3.129	42.580	0.000	0.047	36.844	0.000	0.040	5.018	0.000	-0.080
3.165	42.580	0.000	0.047	36.867	0.000	0.018	5.018	0.000	-0.080
